County,HR_NAME,Crop_OpenAg,price_2,acres_2,yield_2,price_1,acres_1,yield_1,total_acres,fraction_1,fraction_2,Neighboring Counties,Neighboring HR
Alameda,San Francisco Bay,Grapes,,,,1497.69,2530.0,5.14,2530.0,1.0,,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']","['Central Coast', 'North Coast', 'San Joaquin River']"
Amador,San Joaquin River,Grapes,,,,1318.31,5360.0,2.31,5360.0,1.0,,"['Sacramento', 'Calaveras', 'Alpine', 'El Dorado', 'San Joaquin']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Calaveras,San Joaquin River,Grapes,,,,1325.99,579.0,3.06,579.0,1.0,,"['Tuolumne', 'Alpine', 'San Joaquin', 'Stanislaus', 'Amador']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']"
Colusa,Sacramento River,Grapes,,,,684.67,747.0,6.02,747.0,1.0,,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Contra Costa,San Francisco Bay,Grapes,,,,751.27,1940.0,4.69,1940.0,1.0,,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']","['Central Coast', 'North Coast', 'San Joaquin River']"
El Dorado,Sacramento River,Grapes,,,,1548.56,2620.0,2.38,2620.0,1.0,,"['Sacramento', 'Placer', 'Alpine', 'Amador']","['North Coast', 'North Lahontan', 'San Joaquin River']"
Fresno,Tulare Lake,Grapes,1524.14,31600.0,11.39,362.14,56900.0,12.13,88500.0,0.6429378531073446,0.35706214689265536,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Humboldt,North Coast,Grapes,,,,,,,0.0,,,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']","['Sacramento River', 'San Francisco Bay']"
Kern,Tulare Lake,Grapes,1816.32,54600.0,13.08,314.04,25200.0,7.54,79800.0,0.3157894736842105,0.6842105263157895,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Kings,Tulare Lake,Grapes,1500.32,644.0,14.46,286.87,3590.0,16.46,4234.0,0.8478979688238073,0.15210203117619273,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']"
Lake,Sacramento River,Grapes,,,,1329.37,9580.0,4.12,9580.0,1.0,,"['Sonoma', 'Napa', 'Mendocino', 'Yolo', 'Colusa', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']"
