,Unnamed: 0,Crop_OpenAg,County,HR_NAME,ACRES,Neighboring Counties,Neighboring HR,usda crop,price_2020,yield_2020
0,0,Alfalfa,Alameda,San Joaquin River,77.80064626000001,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']","['Central Coast', 'North Coast', 'San Joaquin River']",Hay Alfalfa,219.79,5.5
1,1,Alfalfa,Alpine,North Lahontan,68.84845651,"['Calaveras', 'Mono', 'Tuolumne', 'El Dorado', 'Amador']","['Sacramento River', 'San Joaquin River', 'South Lahontan']",,,
2,2,Alfalfa,Amador,San Joaquin River,664.42489738,"['Sacramento', 'Calaveras', 'Alpine', 'El Dorado', 'San Joaquin']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",Hay Alfalfa,250.1,7.0
3,3,Alfalfa,Butte,Sacramento River,494.68611914,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,200.0,7.0
4,4,Alfalfa,Colusa,Sacramento River,6304.14101103,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,201.32,7.21
5,5,Alfalfa,Contra Costa,San Joaquin River,3075.31760376,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']","['Central Coast', 'North Coast', 'San Joaquin River']",Hay Alfalfa,189.71,4.83
6,6,Alfalfa,Del Norte,North Coast,222.8456727,"['Humboldt', 'Siskiyou']","['Sacramento River', 'San Francisco Bay']",,,
7,7,Alfalfa,Fresno,San Joaquin River,8935.53161746,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']",Hay Alfalfa,209.0,6.86
8,8,Alfalfa,Fresno,Tulare Lake,23623.40607546,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']",Hay Alfalfa,209.0,6.86
9,9,Alfalfa,Glenn,Sacramento River,6468.08701318,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,181.98,6.57
10,10,Alfalfa,Humboldt,North Coast,570.58130125,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']","['Sacramento River', 'San Francisco Bay']",,,
11,11,Alfalfa,Imperial,Colorado River,139647.71871206,"['San Diego', 'Riverside']","['South Coast', 'South Lahontan']",Hay Alfalfa,176.6,7.88
12,12,Alfalfa,Inyo,South Lahontan,2166.63364528,"['Mono', 'San Bernardino', 'Kern', 'Fresno', 'Tulare']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,200.38,
13,13,Alfalfa,Kern,South Lahontan,912.1438188,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']",Hay Alfalfa,188.86,8.56
14,14,Alfalfa,Kern,Tulare Lake,38519.79811271,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']",Hay Alfalfa,188.86,8.56
15,15,Alfalfa,Kings,Tulare Lake,26449.33211549,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']","['Central Coast', 'San Joaquin River', 'South Coast', 'South Lahontan']",Hay Alfalfa,188.75,8.15
16,16,Alfalfa,Lassen,North Lahontan,21392.61661282,"['Sierra', 'Shasta', 'Modoc', 'Plumas']","['Sacramento River', 'San Joaquin River', 'South Lahontan']",,,
17,17,Alfalfa,Lassen,Sacramento River,9741.70806947,"['Sierra', 'Shasta', 'Modoc', 'Plumas']","['Sacramento River', 'San Joaquin River', 'South Lahontan']",,,
18,18,Alfalfa,Los Angeles,South Coast,3.86440143,"['Ventura', 'San Bernardino', 'Kern', 'Orange']","['Central Coast', 'Colorado River', 'South Lahontan', 'Tulare Lake']",,,
19,19,Alfalfa,Los Angeles,South Lahontan,5210.83664985,"['Ventura', 'San Bernardino', 'Kern', 'Orange']","['Central Coast', 'Colorado River', 'South Lahontan', 'Tulare Lake']",,,
20,20,Alfalfa,Madera,San Joaquin River,8313.4732976,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",Hay Alfalfa,215.03,6.81
21,21,Alfalfa,Mendocino,North Coast,59.74146224,"['Sonoma', 'Trinity', 'Humboldt', 'Tehama', 'Lake', 'Glenn']","['Sacramento River', 'San Francisco Bay']",,,
22,22,Alfalfa,Merced,San Joaquin River,45004.36579067,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']","['Central Coast', 'North Lahontan', 'Sacramento River', 'San Francisco Bay', 'South Lahontan', 'Tulare Lake']",Hay Alfalfa,200.98,6.57
23,23,Alfalfa,Modoc,North Coast,19529.88533799,"['Lassen', 'Shasta', 'Siskiyou']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,169.96,7.0
24,24,Alfalfa,Modoc,North Lahontan,8798.9377575,"['Lassen', 'Shasta', 'Siskiyou']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,169.96,7.0
25,25,Alfalfa,Modoc,Sacramento River,14090.60917305,"['Lassen', 'Shasta', 'Siskiyou']","['North Coast', 'North Lahontan', 'San Joaquin River']",Hay Alfalfa,169.96,7.0
26,26,Alfalfa,Mono,North Lahontan,2511.30409743,"['Inyo', 'Tuolumne', 'Alpine', 'Fresno', 'Madera']","['Colorado River', 'North Lahontan', 'San Joaquin River', 'South Coast', 'Tulare Lake']",Hay Alfalfa,203.93,
