,Crop_OpenAg,County,ACRES,Neighboring Counties,usda crop,price_2020,yield_2020
0,Alfalfa,Alameda,77.80064626000001,"['San Francisco', 'Contra Costa', 'Santa Clara', 'San Joaquin', 'Stanislaus', 'San Mateo']",Hay Alfalfa,219.79,5.5
1,Alfalfa,Alpine,68.84845651,"['Calaveras', 'Mono', 'Tuolumne', 'El Dorado', 'Amador']",,,
2,Alfalfa,Amador,664.42489738,"['Sacramento', 'Calaveras', 'Alpine', 'El Dorado', 'San Joaquin']",Hay Alfalfa,250.1,7.0
3,Alfalfa,Butte,494.68611914,"['Yuba', 'Colusa', 'Tehama', 'Sutter', 'Plumas', 'Glenn']",Hay Alfalfa,200.0,7.0
4,Alfalfa,Colusa,6304.14101103,"['Yolo', 'Butte', 'Sutter', 'Lake', 'Glenn']",Hay Alfalfa,201.32,7.21
5,Alfalfa,Contra Costa,3075.31760376,"['Sacramento', 'Sonoma', 'San Francisco', 'Marin', 'Solano', 'San Joaquin', 'Alameda']",Hay Alfalfa,189.71,4.83
6,Alfalfa,Del Norte,222.8456727,"['Humboldt', 'Siskiyou']",,,
7,Alfalfa,Fresno,32558.93769292,"['Kings', 'Monterey', 'Inyo', 'Mono', 'San Benito', 'Madera', 'Merced', 'Tulare']",Hay Alfalfa,209.0,6.86
8,Alfalfa,Glenn,6468.08701318,"['Mendocino', 'Colusa', 'Tehama', 'Butte', 'Lake']",Hay Alfalfa,181.98,6.57
9,Alfalfa,Humboldt,570.58130125,"['Trinity', 'Mendocino', 'Del Norte', 'Siskiyou']",,,
10,Alfalfa,Imperial,139647.71871206,"['San Diego', 'Riverside']",Hay Alfalfa,176.6,7.88
11,Alfalfa,Inyo,2166.63364528,"['Mono', 'San Bernardino', 'Kern', 'Fresno', 'Tulare']",Hay Alfalfa,200.38,
12,Alfalfa,Kern,39431.94193151,"['Santa Barbara', 'Ventura', 'Los Angeles', 'Kings', 'Inyo', 'San Bernardino', 'Tulare', 'San Luis Obispo']",Hay Alfalfa,188.86,8.56
13,Alfalfa,Kings,26449.33211549,"['Monterey', 'Kern', 'Fresno', 'Tulare', 'San Luis Obispo']",Hay Alfalfa,188.75,8.15
14,Alfalfa,Lassen,31134.32468229,"['Sierra', 'Shasta', 'Modoc', 'Plumas']",,,
15,Alfalfa,Los Angeles,5214.70105128,"['Ventura', 'San Bernardino', 'Kern', 'Orange']",,,
16,Alfalfa,Madera,8313.4732976,"['Mariposa', 'Mono', 'Tuolumne', 'Fresno', 'Merced']",Hay Alfalfa,215.03,6.81
17,Alfalfa,Mendocino,59.74146224,"['Sonoma', 'Trinity', 'Humboldt', 'Tehama', 'Lake', 'Glenn']",,,
18,Alfalfa,Merced,45004.36579067,"['Mariposa', 'San Benito', 'Fresno', 'Madera', 'Santa Clara', 'Stanislaus']",Hay Alfalfa,200.98,6.57
19,Alfalfa,Modoc,42419.43226854,"['Lassen', 'Shasta', 'Siskiyou']",Hay Alfalfa,169.96,7.0
20,Alfalfa,Mono,8529.40272797,"['Inyo', 'Tuolumne', 'Alpine', 'Fresno', 'Madera']",Hay Alfalfa,203.93,
21,Alfalfa,Monterey,537.37979147,"['Kings', 'San Benito', 'Fresno', 'Santa Cruz', 'San Luis Obispo']",Hay Alfalfa,108.84,3.22
